,city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,San Quintin,20,PH,1537660800,83,17.54,120.52,27.0,2.1
85,Vaini,76,IN,1537664187,98,15.34,74.49,20.46,0.96
86,Muisne,32,EC,1537664187,76,0.61,-80.02,25.31,2.66
87,Lorengau,64,PG,1537664187,99,-2.02,147.27,28.86,2.66
88,Kapaa,40,US,1537660560,79,22.08,-159.32,30.6,5.1
89,Hat Yai,40,TH,1537662600,94,7.0,100.46,26.0,1.0
90,Middletown,1,US,1537660560,83,41.45,-74.42,17.8,1.5
91,Coquimbo,90,CL,1537660800,93,-29.95,-71.34,12.0,1.5
92,Katsuura,75,JP,1537660800,88,33.93,134.5,22.0,2.1
93,Katsuura,75,JP,1537660800,88,33.93,134.5,22.0,2.1
94,Manono,76,CD,1537664190,44,-7.3,27.4,26.91,2.36
95,Adrar,40,DZ,1537660800,30,27.87,-0.29,30.0,7.7
96,Nikolskoye,0,RU,1537660800,87,59.7,30.79,10.0,3.0
97,Puerto Baquerizo Moreno,90,EC,1537660800,88,-0.9,-89.6,21.0,5.1
98,Salina Cruz,12,MX,1537664191,60,16.18,-95.2,30.11,2.91
99,Arraial do Cabo,0,BR,1537664191,99,-22.97,-42.02,20.46,2.06
100,Kenai,1,US,1537660560,71,60.55,-151.26,13.9,10.8
101,College,90,US,1537662780,89,64.86,-147.8,9.4,2.1
102,Divnoye,0,RU,1537664192,75,45.91,43.34,16.11,5.26
103,Katobu,0,ID,1537664192,90,-4.94,122.53,27.61,2.01
104,Celestun,20,MX,1537664192,95,20.87,-90.4,29.31,8.61
105,Celestun,20,MX,1537664192,95,20.87,-90.4,29.31,8.61
106,Sao Miguel,56,BR,1537664193,57,4.52,-61.01,24.56,1.51
107,Marawi,56,PH,1537664194,98,8.0,124.29,22.41,1.16
108,Vieques,40,PR,1537660560,77,18.43,-65.83,28.3,5.7
109,Maha Sarakham,75,TH,1537660800,94,16.19,103.3,25.0,2.6
110,Winslow,90,GB,1537662360,100,51.94,-0.88,11.0,3.6
111,Vila Velha,40,BR,1537660800,83,-3.71,-38.6,26.0,4.1
112,Cedar City,1,US,1537660380,18,37.68,-113.06,26.7,8.2
113,Sinegorye,36,RU,1537664196,79,62.09,150.53,2.26,1.21
114,Segezha,80,RU,1537664021,79,63.74,34.31,11.56,5.16
115,Westport,92,IE,1537663995,91,53.8,-9.52,8.26,3.76
116,Saint Paul,1,US,1537663980,64,44.95,-93.1,17.0,2.6
117,Port Hardy,20,CA,1537660800,41,50.7,-127.42,16.0,4.6
118,Manavalakurichi,75,IN,1537662600,88,8.13,77.3,26.0,1.5
119,Batagay,48,RU,1537664198,84,67.65,134.64,-0.6,1.86
120,Didsbury,90,CA,1537662780,90,51.66,-114.14,1.0,3.6
121,Abu Samrah,0,SY,1537664198,81,35.3,37.18,17.46,2.91
122,Lai,0,CN,1537664198,74,27.82,91.75,7.96,0.66
123,Paamiut,88,GL,1537664199,93,61.99,-49.67,4.91,18.16
124,Los Llanos de Aridane,8,ES,1537662600,69,28.66,-17.92,23.0,5.7
125,Zemio,0,CF,1537664199,94,5.02,25.13,21.36,1.16
126,Shenjiamen,68,CN,1537664200,99,29.96,122.3,25.81,5.26
127,Vardo,1,US,1537661700,69,39.62,-77.74,17.8,2.6
128,Dhidhdhoo,80,MV,1537664161,100,6.88,73.1,26.01,4.11
129,Lewisporte,40,CA,1537660800,66,49.25,-55.06,9.0,9.8
130,Atuona,0,PF,1537664201,100,-9.8,-139.03,26.46,4.66
131,Nuevo Progreso,1,US,1537661700,71,26.05,-97.95,30.0,5.1
132,Tazovskiy,64,RU,1537664201,94,67.47,78.7,5.91,4.21
133,Iqaluit,90,CA,1537661580,74,63.75,-68.52,2.0,2.6
134,Taunggyi,64,MM,1537664187,95,20.78,97.03,18.81,1.31
135,Suba,92,CN,1537664202,89,28.73,103.51,18.01,1.11
136,Luorong,76,CN,1537664202,96,24.41,109.6,23.01,1.81
137,Mapiri,0,BO,1537664203,94,-15.31,-68.22,9.71,0.76
138,New Norfolk,75,AU,1537662600,75,-42.78,147.06,8.0,4.1
139,Homer,1,US,1537660380,74,59.64,-151.54,13.3,5.1
140,Kahului,40,US,1537663500,61,20.89,-156.47,31.1,6.7
141,Karratha,0,AU,1537664205,18,-20.74,116.85,21.81,2.41
142,Beringovskiy,80,RU,1537664205,100,63.05,179.32,7.66,6.36
143,Batemans Bay,12,AU,1537664205,82,-35.71,150.18,14.96,1.16
144,Savannah Bight,20,HN,1537664206,99,16.45,-85.85,28.66,7.21
145,East London,92,ZA,1537664206,100,-33.02,27.91,18.36,6.16
146,Champerico,90,MX,1537663200,83,16.38,-93.6,26.0,2.6
147,Mutare,0,MZ,1537664207,85,-18.97,32.67,16.01,2.16
148,Luderitz,0,NA,1537664207,83,-26.65,15.16,12.11,7.86
149,Dalvik,92,SE,1537662000,87,57.79,14.13,9.0,6.7
150,Dalvik,92,SE,1537662000,87,57.79,14.13,9.0,6.7
151,Alice Springs,0,AU,1537662600,15,-23.7,133.88,23.0,5.7
152,Yellowknife,20,CA,1537660800,52,62.45,-114.38,8.0,7.2
153,Ancud,92,CL,1537664208,98,-41.87,-73.83,8.41,4.01
154,Fairbanks,90,US,1537662780,89,64.84,-147.72,9.4,2.1
155,Georgetown,0,GY,1537660800,94,6.8,-58.16,26.0,3.1
156,Thompson,5,CA,1537660800,40,55.74,-97.86,2.0,2.1
157,Chernyshevskiy,0,RU,1537664209,89,63.01,112.47,3.91,2.86
158,Mao,20,DO,1537660800,74,19.55,-71.08,28.0,7.7
159,Namibe,0,AO,1537664210,99,-15.19,12.15,18.76,1.96
160,Sabzevar,0,IR,1537664210,73,36.21,57.68,8.11,1.86
161,Puerto del Rosario,0,ES,1537662600,83,28.5,-13.86,24.0,6.7
162,Half Moon Bay,90,US,1537662900,87,37.46,-122.43,31.1,4.1
163,Port Alfred,12,ZA,1537664211,100,-33.59,26.89,16.41,4.11
164,Hilo,90,US,1537660380,60,19.71,-155.08,28.3,4.6
165,Panalingaan,56,PH,1537664212,96,8.78,117.42,26.76,2.61
166,Touros,0,BR,1537664212,86,-5.2,-35.46,24.46,5.36
167,Zhigansk,32,RU,1537664213,92,66.77,123.37,3.36,2.21
168,Zhigansk,32,RU,1537664213,92,66.77,123.37,3.36,2.21
169,Beloha,80,MG,1537664213,95,-25.17,45.06,20.51,4.21
170,Pevek,80,RU,1537664214,100,69.7,170.27,6.66,1.31
171,Yarmouth,100,GB,1537660200,93,50.71,-1.5,11.0,3.6
172,Am Timan,44,TD,1537664215,90,11.04,20.28,22.06,1.26
173,Borogontsy,92,RU,1537664215,85,62.67,131.17,6.01,3.11
174,Borogontsy,92,RU,1537664215,85,62.67,131.17,6.01,3.11
175,Butaritari,0,KI,1537664215,100,3.07,172.79,29.41,3.36
176,Butaritari,0,KI,1537664215,100,3.07,172.79,29.41,3.36
